Coluna;Microrregião
CNAE 2.0 Subclasse;50001:BAIXO PANTANAL;50002:AQUIDAUANA;50003:ALTO TAQUARI;50004:CAMPO GRANDE;50005:CASSILÂNDIA;50006:PARANAÍBA;50007:TRÊS LAGOAS;50008:NOVA ANDRADINA;50009:BODOQUENA;50010:DOURADOS;50011:IGUATEMI;51001:ARIPUANÃ;51002:ALTA FLORESTA;51003:COLÍDER;51004:PARECIS;51005:ARINOS;51006:ALTO TELES PIRES;51007:SINOP;51008:PARANATINGA;51009:NORTE ARAGUAIA;51010:CANARANA;51011:MÉDIO ARAGUAIA;51012:ALTO GUAPORÉ;51013:TANGARÁ DA SERRA;51014:JAURU;51015:ALTO PARAGUAI;51016:ROSÁRIO OESTE;51017:CUIABÁ;51018:ALTO PANTANAL;51019:PRIMAVERA DO LESTE;51020:TESOURO;51021:RONDONÓPOLIS;51022:ALTO ARAGUAIA;52001:SÃO MIGUEL DO ARAGUAIA;52002:RIO VERMELHO;52003:ARAGARÇAS;52004:PORANGATU;52005:CHAPADA DOS VEADEIROS;52006:CERES;52007:ANÁPOLIS;52008:IPORÁ;52009:ANICUNS;52010:GOIÂNIA;52011:VÃO DO PARANÃ;52012:ENTORNO DE BRASÍLIA;52013:SUDOESTE DE GOIÁS;52014:VALE DO RIO DOS BOIS;52015:MEIA PONTE;52016:PIRES DO RIO;52017:CATALÃO;52018:QUIRINÓPOLIS;53001:BRASÍLIA;Total
0111301:Cultivo de arroz;0;56;1;29;3;0;0;1;8;59;10;0;10;17;11;29;13;87;39;25;51;0;1;0;6;0;8;9;0;12;16;20;3;8;12;0;5;8;0;24;0;5;77;19;36;75;1;37;1;1;7;22;862
0111302:Cultivo de milho;6;0;1;50;15;0;2;1;3;104;10;1;0;6;18;42;74;50;5;94;13;0;0;6;2;0;0;12;0;306;0;64;4;3;2;0;10;22;1;35;5;0;20;1;111;184;55;58;21;6;1;49;1473
0111303:Cultivo de trigo;0;0;0;0;0;0;0;0;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;25;0;0;1;0;3;8;1;27;7;91
0111399:Cultivo de outros cereais não especificados anteriormente;15;13;78;148;76;3;14;7;77;1192;166;1;7;43;51;40;198;34;14;62;54;5;21;73;1;3;0;33;5;219;8;24;1;5;53;3;22;48;31;68;3;13;72;14;650;544;34;436;50;350;14;142;5238
0112101:Cultivo de algodão herbáceo;0;0;0;0;462;0;0;0;0;6;0;0;0;0;847;119;89;0;165;1;253;0;0;1;0;0;0;133;0;814;394;712;262;0;0;0;0;1;0;0;0;0;0;20;232;403;192;73;0;16;0;3;5198
0112102:Cultivo de juta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;1;4;0;5;0;0;1;0;20
0112199:Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;1;0;1;8;0;0;2;0;1;8;9;0;0;0;7;0;1;5;0;1;0;0;0;4;0;0;0;2;3;4;24;0;0;1;4;0;0;0;0;4;0;1;5;0;15;26;21;3;3;14;8;53;239
0113000:Cultivo de cana-de-açúcar;0;0;0;37;1376;407;71;146;0;1680;1739;0;0;0;375;7;3;0;0;0;0;2;0;2461;832;6;0;17;31;0;0;19;0;2;2;0;0;65;1971;2;0;5;7;0;16;2704;1203;3235;3;3;122;30;18579
0114800:Cultivo de fumo;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
0115600:Cultivo de soja;9;21;1998;755;1092;15;53;34;221;4200;469;778;24;460;9307;1985;9964;2255;1513;1947;3410;346;150;584;8;282;125;833;48;4101;1156;4127;1759;35;50;129;185;110;97;79;11;15;105;68;2744;5561;1306;1452;758;1052;99;634;68519
0116401:Cultivo de amendoim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0116402:Cultivo de girassol;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
