Coluna;Microrregião
CNAE 2.0 Subclasse;11001:PORTO VELHO;11002:GUAJARÁ-MIRIM;11003:ARIQUEMES;11004:JI-PARANÁ;11005:ALVORADA DOESTE;11006:CACOAL;11007:VILHENA;11008:COLORADO DO OESTE;12001:CRUZEIRO DO SUL;12002:TARAUACÁ;12003:SENA MADUREIRA;12004:RIO BRANCO;12005:BRASILÉIA;13001:RIO NEGRO-AM;13002:JAPURÁ;13003:ALTO SOLIMÕES;13004:JURUÁ;13005:TEFÉ;13006:COARI;13007:MANAUS;13008:RIO PRETO DA EVA;13009:ITACOATIARA;13010:PARINTINS;13011:BOCA DO ACRE;13012:PURUS;13013:MADEIRA;14001:BOA VISTA;14002:NORDESTE DE RORAIMA;14003:CARACARAÍ;14004:SUDESTE DE RORAIMA;15001:ÓBIDOS;15002:SANTARÉM;15003:ALMEIRIM;15004:PORTEL;15005:FUROS DE BREVES;15006:ARARI;15007:BELÉM;15008:CASTANHAL;15009:SALGADO;15010:BRAGANTINA;15011:CAMETÁ;15012:TOMÉ-AÇU;15013:GUAMÁ;15014:ITAITUBA;15015:ALTAMIRA;15016:TUCURUÍ;15017:PARAGOMINAS;15018:SÃO FÉLIX DO XINGU;15019:PARAUAPEBAS;15020:MARABÁ;15021:REDENÇÃO;15022:CONCEIÇÃO DO ARAGUAIA;16001:OIAPOQUE;16002:AMAPÁ;16003:MACAPÁ;16004:MAZAGÃO;17001:BICO DO PAPAGAIO;17002:ARAGUAÍNA;17003:MIRACEMA DO TOCANTINS;17004:RIO FORMOSO;17005:GURUPI-TO;17006:PORTO NACIONAL;17007:JALAPÃO;17008:DIANÓPOLIS;Total
0111301:Cultivo de arroz;201;0;16;56;4;30;73;17;14;0;0;14;0;0;0;0;0;0;0;60;0;2;0;0;0;8;290;202;7;0;0;178;82;0;0;40;60;40;8;1;2;4;0;12;27;0;50;8;3;0;7;3;0;3;53;0;2;22;5;635;14;43;80;6;2382
0111302:Cultivo de milho;11;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;42;0;1;0;0;130;1;2;0;0;0;0;0;5;0;0;0;4;71;3;3;2;4;283
0111303:Cultivo de trigo;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
0111399:Cultivo de outros cereais não especificados anteriormente;6;0;0;4;2;26;70;9;1;0;1;5;0;0;0;0;0;0;0;6;0;0;0;0;0;3;0;0;1;0;0;23;0;0;0;0;5;12;0;5;1;1;3;16;0;3;134;6;1;6;6;6;0;0;20;0;11;35;31;78;22;31;64;30;684
0112101:Cultivo de algodão herbáceo;24;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;52;96
0112102:Cultivo de juta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;31
0112199:Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;0;0;0;0;0;0;16;0;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;2;0;2;0;0;0;0;0;0;0;3;0;0;0;3;3;0;2;0;0;46
0113000:Cultivo de cana-de-açúcar;0;0;0;6;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;997;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;2;5;2;1046
0115600:Cultivo de soja;1;0;3;0;4;2;290;168;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;89;24;17;0;0;72;0;0;0;0;0;0;0;2;2;2;2;12;4;5;213;3;0;3;0;164;0;6;6;0;27;28;408;405;336;437;455;250;3443
0116401:Cultivo de amendoim;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
