Coluna;Microrregião
CNAE 2.0 Subclasse;31001:UNAÍ;31002:PARACATU;31003:JANUÁRIA;31004:JANAÚBA;31005:SALINAS;31006:PIRAPORA;31007:MONTES CLAROS;31008:GRÃO MOGOL;31009:BOCAIÚVA;31010:DIAMANTINA;31011:CAPELINHA;31012:ARAÇUAÍ;31013:PEDRA AZUL;31014:ALMENARA;31015:TEÓFILO OTONI;31016:NANUQUE;31017:ITUIUTABA;31018:UBERLÂNDIA;31019:PATROCÍNIO;31020:PATOS DE MINAS;31021:FRUTAL;31022:UBERABA;31023:ARAXÁ;31024:TRÊS MARIAS;31025:CURVELO;31026:BOM DESPACHO;31027:SETE LAGOAS;31028:CONCEIÇÃO DO MATO DENTRO;31029:PARÁ DE MINAS;31030:BELO HORIZONTE;31031:ITABIRA;31032:ITAGUARA;31033:OURO PRETO;31034:CONSELHEIRO LAFAIETE;31035:GUANHÃES;31036:PEÇANHA;31037:GOVERNADOR VALADARES;31038:MANTENA;31039:IPATINGA;31040:CARATINGA;31041:AIMORÉS;31042:PIUÍ;31043:DIVINÓPOLIS;31044:FORMIGA;31045:CAMPO BELO;31046:OLIVEIRA;31047:PASSOS;31048:SÃO SEBASTIÃO DO PARAÍSO;31049:ALFENAS;31050:VARGINHA;31051:POÇOS DE CALDAS;31052:POUSO ALEGRE;31053:SANTA RITA DO SAPUCAÍ;31054:SÃO LOURENÇO;31055:ANDRELÂNDIA;31056:ITAJUBÁ;31057:LAVRAS;31058:SÃO JOÃO DEL REI;31059:BARBACENA;31060:PONTE NOVA;31061:MANHUAÇU;31062:VIÇOSA;31063:MURIAÉ;31064:UBÁ;31065:JUIZ DE FORA;31066:CATAGUASES;32001:BARRA DE SÃO FRANCISCO;32002:NOVA VENÉCIA;32003:COLATINA;32004:MONTANHA;32005:SÃO MATEUS;32006:LINHARES;32007:AFONSO CLÁUDIO;32008:SANTA TERESA;32009:VITÓRIA;32010:GUARAPARI;32011:ALEGRE;32012:CACHOEIRO DE ITAPEMIRIM;32013:ITAPEMIRIM;33001:ITAPERUNA;33002:SANTO ANTÔNIO DE PÁDUA;33003:CAMPOS DOS GOYTACAZES;33004:MACAÉ;33005:TRÊS RIOS;33006:CANTAGALO-CORDEIRO;33007:NOVA FRIBURGO;33008:SANTA MARIA MADALENA;33009:BACIA DE SÃO JOÃO;33010:LAGOS;33011:VALE DO PARAÍBA FLUMINENSE;33012:BARRA DO PIRAÍ;33013:BAÍA DA ILHA GRANDE;33014:VASSOURAS;33015:SERRANA;33016:MACACU-CACERIBU;33017:ITAGUAÍ;33018:RIO DE JANEIRO;35001:JALES;35002:FERNANDÓPOLIS;35003:VOTUPORANGA;35004:SÃO JOSÉ DO RIO PRETO;35005:CATANDUVA;35006:AURIFLAMA;35007:NHANDEARA;35008:NOVO HORIZONTE;35009:BARRETOS;35010:SÃO JOAQUIM DA BARRA;35011:ITUVERAVA;35012:FRANCA;35013:JABOTICABAL;35014:RIBEIRÃO PRETO;35015:BATATAIS;35016:ANDRADINA;35017:ARAÇATUBA;35018:BIRIGUI;35019:LINS;35020:BAURU;35021:JAÚ;35022:AVARÉ;35023:BOTUCATU;35024:ARARAQUARA;35025:SÃO CARLOS;35026:RIO CLARO;35027:LIMEIRA;35028:PIRACICABA;35029:PIRASSUNUNGA;35030:SÃO JOÃO DA BOA VISTA;35031:MOJI MIRIM;35032:CAMPINAS;35033:AMPARO;35034:DRACENA;35035:ADAMANTINA;35036:PRESIDENTE PRUDENTE;35037:TUPÃ;35038:MARÍLIA;35039:ASSIS;35040:OURINHOS;35041:ITAPEVA;35042:ITAPETININGA;35043:TATUÍ;35044:CAPÃO BONITO;35045:PIEDADE;35046:SOROCABA;35047:JUNDIAÍ;35048:BRAGANÇA PAULISTA;35049:CAMPOS DO JORDÃO;35050:SÃO JOSÉ DOS CAMPOS;35051:GUARATINGUETÁ;35052:BANANAL;35053:PARAIBUNA/PARAITINGA;35054:CARAGUATATUBA;35055:REGISTRO;35056:ITANHAÉM;35057:OSASCO;35058:FRANCO DA ROCHA;35059:GUARULHOS;35060:ITAPECERICA DA SERRA;35061:SÃO PAULO;35062:MOGI DAS CRUZES;35063:SANTOS;Total
0111301:Cultivo de arroz;64;17;12;99;16;3;29;9;1;0;0;1;0;3;16;1;1;7;81;32;0;51;11;5;6;26;128;4;17;1425;63;38;9;33;3;0;2;5;56;30;0;5;71;27;6;5;16;6;48;10;29;3;28;4;3;2;14;3;32;43;5;21;21;24;14;18;2;0;0;0;1;3;18;0;47;9;2;22;0;1;5;2;0;2;0;0;0;0;0;130;12;0;11;0;0;0;34;0;0;4;11;1;0;2;1;1;10;0;3;2;0;4;0;0;0;2;2;0;4;0;1;0;0;5;24;2;7;9;5;0;0;0;17;1;3;4;11;25;9;1;0;15;0;0;4;2;136;14;0;1;0;4;0;3;1;3;0;15;3;0;3435
0111302:Cultivo de milho;218;324;2;80;11;84;59;0;2;0;0;2;0;0;0;0;5;164;510;299;10;48;165;31;3;7;6;0;2;13;2;1;4;25;0;0;1;0;4;2;2;104;9;27;15;6;102;38;85;197;13;9;75;35;68;7;34;122;25;9;2;14;2;9;3;1;0;0;3;0;0;0;0;0;6;0;0;0;0;0;0;0;0;12;0;2;0;5;0;0;4;0;0;0;2;0;4;3;6;24;54;44;0;8;10;14;115;7;86;8;25;80;19;5;30;17;12;10;452;34;36;72;38;141;14;170;635;52;56;59;1;6;15;4;32;78;76;648;263;141;278;133;189;34;87;0;8;4;2;5;0;2;2;0;0;0;0;10;3;0;7492
0111303:Cultivo de trigo;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;10;0;0;0;0;0;0;0;14;1;24;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89
0111399:Cultivo de outros cereais não especificados anteriormente;1120;754;19;6;16;49;30;0;0;3;3;2;0;2;13;0;18;203;489;454;95;155;199;5;18;35;8;2;0;71;6;3;10;15;1;1;1;0;5;25;7;60;22;2;9;51;32;28;45;38;20;44;21;11;6;12;53;33;8;8;5;68;10;21;17;29;1;4;2;7;13;7;35;25;8;17;2;71;4;1;8;7;1;14;2;9;0;0;2;1;7;1;1;2;1;6;14;3;1;30;19;15;0;2;9;21;265;41;59;27;74;6;4;34;14;3;16;8;200;77;10;25;4;40;15;22;59;131;13;3;1;5;4;1;16;72;55;574;14;23;62;147;44;3;18;6;28;3;0;23;0;2;0;0;0;0;1;53;4;0;7178
0112101:Cultivo de algodão herbáceo;156;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;6;0;0;0;0;0;0;0;3;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;10;0;0;0;0;2;8;0;0;0;0;0;0;5;0;0;5;0;52;0;0;0;0;28;0;16;27;11;0;0;0;0;0;0;0;0;0;24;10;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;411
0112102:Cultivo de juta;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;21
0112199:Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;17;9;69;18;15;27;3;0;2;0;0;0;0;0;4;1;0;53;0;1;6;4;3;8;2;0;33;1;0;10;4;2;30;1;0;0;1;0;1;5;0;2;10;2;5;14;6;0;4;6;9;12;1;2;0;9;16;10;2;19;0;31;8;11;2;6;0;8;0;10;8;1;7;10;4;5;0;2;3;1;0;2;0;6;1;46;0;0;0;0;0;0;0;5;0;0;0;0;0;0;12;0;0;0;0;1;3;0;0;9;36;2;1;17;1;0;16;1;9;8;2;6;1;60;0;23;182;4;52;6;5;1;10;21;0;16;20;124;62;2;66;92;17;12;8;5;9;3;0;7;2;0;0;0;0;0;3;2;103;0;1678
0113000:Cultivo de cana-de-açúcar;11;275;0;416;28;0;7;0;1;3;0;0;0;2;4;98;19;507;1;3;1867;611;173;7;5;7;12;0;1;24;56;8;2;4;0;0;0;0;0;1;0;847;18;9;50;16;14;188;8;12;11;2;6;0;0;80;6;9;0;97;1;23;1;12;17;1;0;54;0;199;1986;69;8;53;6;0;5;52;299;1;10;1792;73;15;0;24;0;4;0;0;12;4;0;0;0;4;2;1074;88;139;4285;4830;148;2409;1758;892;6639;935;342;2304;4096;650;969;645;6005;273;1604;3384;2003;415;1575;546;176;462;1176;2178;1691;406;383;62;277;797;891;33;23;11515;2820;26;488;611;0;3;177;8;35;0;47;1;0;3;0;5;0;1;0;0;0;160;3;0;82719
0114800:Cultivo de fumo;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
0115600:Cultivo de soja;1290;1564;130;0;0;240;3;0;0;0;0;0;0;4;0;0;171;811;413;93;142;707;560;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;8;0;1;0;0;54;2;0;0;0;0;1;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;46;747;121;61;1;39;40;2;7;36;0;0;11;107;28;22;0;4;5;0;4;160;6;0;0;0;3;65;4;27;783;273;529;34;3;9;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;9;45;0;0;9462
