Coluna;Microrregião
CNAE 2.0 Subclasse;41001:PARANAVAÍ;41002:UMUARAMA;41003:CIANORTE;41004:GOIOERÊ;41005:CAMPO MOURÃO;41006:ASTORGA;41007:PORECATU;41008:FLORAÍ;41009:MARINGÁ;41010:APUCARANA;41011:LONDRINA;41012:FAXINAL;41013:IVAIPORÃ;41014:ASSAÍ;41015:CORNÉLIO PROCÓPIO;41016:JACAREZINHO;41017:IBAITI;41018:WENCESLAU BRAZ;41019:TELÊMACO BORBA;41020:JAGUARIAÍVA;41021:PONTA GROSSA;41022:TOLEDO;41023:CASCAVEL-PR;41024:FOZ DO IGUAÇU;41025:CAPANEMA;41026:FRANCISCO BELTRÃO;41027:PATO BRANCO;41028:PITANGA;41029:GUARAPUAVA;41030:PALMAS;41031:PRUDENTÓPOLIS;41032:IRATI;41033:UNIÃO DA VITÓRIA;41034:SÃO MATEUS DO SUL;41035:CERRO AZUL;41036:LAPA;41037:CURITIBA;41038:PARANAGUÁ;41039:RIO NEGRO-PR;42001:SÃO MIGUEL DO OESTE;42002:CHAPECÓ;42003:XANXERÊ;42004:JOAÇABA;42005:CONCÓRDIA;42006:CANOINHAS;42007:SÃO BENTO DO SUL;42008:JOINVILLE;42009:CURITIBANOS;42010:CAMPOS DE LAGES;42011:RIO DO SUL;42012:BLUMENAU;42013:ITAJAÍ;42014:ITUPORANGA;42015:TIJUCAS;42016:FLORIANÓPOLIS;42017:TABULEIRO;42018:TUBARÃO;42019:CRICIÚMA;42020:ARARANGUÁ;43001:SANTA ROSA;43002:TRÊS PASSOS;43003:FREDERICO WESTPHALEN;43004:ERECHIM;43005:SANANDUVA;43006:CERRO LARGO;43007:SANTO ÂNGELO;43008:IJUÍ;43009:CARAZINHO;43010:PASSO FUNDO;43011:CRUZ ALTA;43012:NÃO-ME-TOQUE;43013:SOLEDADE;43014:GUAPORÉ;43015:VACARIA;43016:CAXIAS DO SUL;43017:SANTIAGO;43018:SANTA MARIA;43019:RESTINGA SECA;43020:SANTA CRUZ DO SUL;43021:LAJEADO-ESTRELA;43022:CACHOEIRA DO SUL;43023:MONTENEGRO;43024:GRAMADO-CANELA;43025:SÃO JERÔNIMO;43026:PORTO ALEGRE;43027:OSÓRIO;43028:CAMAQUÃ;43029:CAMPANHA OCIDENTAL;43030:CAMPANHA CENTRAL;43031:CAMPANHA MERIDIONAL;43032:SERRAS DE SUDESTE;43033:PELOTAS;43034:JAGUARÃO;43035:LITORAL LAGUNAR;Total
0111301:Cultivo de arroz;142;14;1;2;39;11;0;2;13;12;76;5;29;5;23;16;2;8;26;21;35;10;6;3;0;0;4;0;33;2;3;66;5;55;1;0;65;16;0;1;0;9;3;1;0;0;45;6;4;15;9;5;0;9;10;0;137;38;19;0;0;1;0;0;0;15;1;0;2;0;0;0;0;2;0;16;793;179;10;3;608;8;1;67;315;1313;1116;5955;1156;1385;67;914;1171;2021;18181
0111302:Cultivo de milho;3;0;3;6;3;11;2;2;26;9;19;4;16;4;73;0;0;14;43;24;94;42;28;16;9;80;24;10;120;41;81;2;25;1;1;4;102;0;0;134;65;158;55;2;34;2;0;15;15;2;1;0;5;0;0;0;1;0;0;5;3;7;24;2;1;4;3;30;15;9;0;3;95;54;19;5;1;0;4;2;1;2;0;3;2;0;0;20;2;0;1;12;3;0;1763
0111303:Cultivo de trigo;0;0;0;0;12;2;0;0;1;4;24;2;4;1;14;1;0;0;0;0;1;1;1;0;0;0;4;0;5;0;0;0;0;0;0;0;42;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;4;5;0;2;8;0;0;0;0;2;5;3;1;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;6;0;169
0111399:Cultivo de outros cereais não especificados anteriormente;82;117;54;243;504;93;73;28;82;394;216;71;97;200;352;92;5;56;292;197;1083;576;648;160;13;79;234;61;1009;266;143;39;73;105;5;28;80;14;18;11;46;401;101;10;205;5;1;198;33;12;0;8;33;0;1;2;10;3;0;20;33;126;219;27;9;419;126;568;262;196;115;4;28;266;42;186;43;14;7;6;49;4;4;1;56;7;5;109;84;28;14;59;60;27;12185
0112101:Cultivo de algodão herbáceo;0;0;0;0;1;4;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;38
0112102:Cultivo de juta;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
0112199:Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;5;1;6;9;34;3;1;0;18;2;30;2;1;3;23;13;7;3;27;2;63;26;8;11;2;40;8;1;38;4;11;2;0;1;0;39;19;0;1;1;21;0;20;2;7;0;4;0;1;2;0;6;22;0;58;0;0;0;1;2;2;1;21;0;3;4;0;8;5;7;1;1;0;14;5;1;4;0;0;1;4;3;0;1;3;1;3;3;4;0;0;3;0;0;714
0113000:Cultivo de cana-de-açúcar;872;8;1272;78;40;499;47;3;25;20;25;21;2228;3;2392;1112;2;0;0;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;8679
0114800:Cultivo de fumo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;1;0;6;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;3;0;0;2;0;0;0;14;34;29;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;2;32;0;14;0;0;0;0;0;3;0;0;0;0;0;0;0;163
0115600:Cultivo de soja;110;233;83;548;1428;440;610;351;227;246;732;181;225;403;1064;94;47;60;837;259;1394;671;792;366;45;82;178;371;1368;475;268;22;41;30;0;47;85;0;11;12;52;174;8;0;170;2;0;214;61;0;0;18;0;0;0;0;0;0;0;125;135;151;121;157;53;877;944;867;921;1655;170;50;39;353;0;1186;157;21;30;1;249;0;3;35;22;0;7;249;198;60;52;126;84;2;24235
0116401:Cultivo de amendoim;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
