Coluna;Microrregião
CNAE 2.0 Subclasse;21001:LITORAL OCIDENTAL MARANHENSE;21002:AGLOMERAÇÃO URBANA DE SÃO LUÍS;21003:ROSÁRIO;21004:LENÇOIS MARANHENSES;21005:BAIXADA MARANHENSE;21006:ITAPECURU MIRIM;21007:GURUPI-MA;21008:PINDARÉ;21009:IMPERATRIZ;21010:MÉDIO MEARIM;21011:ALTO MEARIM E GRAJAÚ;21012:PRESIDENTE DUTRA;21013:BAIXO PARNAÍBA MARANHENSE;21014:CHAPADINHA;21015:CODÓ;21016:COELHO NETO;21017:CAXIAS;21018:CHAPADAS DO ALTO ITAPECURU;21019:PORTO FRANCO;21020:GERAIS DE BALSAS;21021:CHAPADAS DAS MANGABEIRAS;22001:BAIXO PARNAÍBA PIAUIENSE;22002:LITORAL PIAUIENSE;22003:TERESINA;22004:CAMPO MAIOR;22005:MÉDIO PARNAÍBA PIAUIENSE;22006:VALENÇA DO PIAUÍ;22007:ALTO PARNAÍBA PIAUIENSE;22008:BERTOLÍNIA;22009:FLORIANO;22010:ALTO MÉDIO GURGUÉIA;22011:SÃO RAIMUNDO NONATO;22012:CHAPADAS DO EXTREMO SUL PIAUIENSE;22013:PICOS;22014:PIO IX;22015:ALTO MÉDIO CANINDÉ;23001:LITORAL DE CAMOCIM E ACARAÚ;23002:IBIAPABA;23003:COREAÚ;23004:MERUOCA;23005:SOBRAL;23006:IPU;23007:SANTA QUITÉRIA;23008:ITAPIPOCA;23009:BAIXO CURU;23010:URUBURETAMA;23011:MÉDIO CURU;23012:CANINDÉ;23013:BATURITÉ;23014:CHOROZINHO;23015:CASCAVEL-CE;23016:FORTALEZA;23017:PACAJUS;23018:SERTÃO DE CRATÉUS;23019:SERTÃO DE QUIXERAMOBIM;23020:SERTÃO DE INHAMUNS;23021:SERTÃO DE SENADOR POMPEU;23022:LITORAL DE ARACATI;23023:BAIXO JAGUARIBE;23024:MÉDIO JAGUARIBE;23025:SERRA DO PEREIRO;23026:IGUATU;23027:VÁRZEA ALEGRE;23028:LAVRAS DA MANGABEIRA;23029:CHAPADA DO ARARIPE;23030:CARIRIAÇU;23031:BARRO;23032:CARIRI;23033:BREJO SANTO;24001:MOSSORÓ;24002:CHAPADA DO APODI;24003:MÉDIO OESTE;24004:VALE DO AÇU;24005:SERRA DE SÃO MIGUEL;24006:PAU DOS FERROS;24007:UMARIZAL;24008:MACAU;24009:ANGICOS;24010:SERRA DE SANTANA;24011:SERIDÓ OCIDENTAL;24012:SERIDÓ ORIENTAL;24013:BAIXA VERDE;24014:BORBOREMA POTIGUAR;24015:AGRESTE POTIGUAR;24016:LITORAL NORDESTE;24017:MACAÍBA;24018:NATAL;24019:LITORAL SUL-RN;25001:CATOLÉ DO ROCHA;25002:CAJAZEIRAS;25003:SOUSA;25004:PATOS;25005:PIANCÓ;25006:ITAPORANGA;25007:SERRA DO TEIXEIRA;25008:SERIDÓ OCIDENTAL PARAIBANO;25009:SERIDÓ ORIENTAL PARAIBANO;25010:CARIRI OCIDENTAL;25011:CARIRI ORIENTAL;25012:CURIMATAÚ OCIDENTAL;25013:CURIMATAÚ ORIENTAL;25014:ESPERANÇA;25015:BREJO PARAIBANO;25016:GUARABIRA;25017:CAMPINA GRANDE;25018:ITABAIANA;25019:UMBUZEIRO;25020:LITORAL NORTE;25021:SAPÉ;25022:JOÃO PESSOA;25023:LITORAL SUL-PB;26001:ARARIPINA;26002:SALGUEIRO;26003:PAJEÚ;26004:SERTÃO DO MOXOTÓ;26005:PETROLINA;26006:ITAPARICA;26007:VALE DO IPANEMA;26008:VALE DO IPOJUCA;26009:ALTO CAPIBARIBE;26010:MÉDIO CAPIBARIBE;26011:GARANHUNS;26012:BREJO PERNAMBUCANO;26013:MATA SETENTRIONAL PERNAMBUCANA;26014:VITÓRIA DE SANTO ANTÃO;26015:MATA MERIDIONAL PERNAMBUCANA;26016:ITAMARACÁ;26017:RECIFE;26018:SUAPE;26019:FERNANDO DE NORONHA;27001:SERRANA DO SERTÃO ALAGOANO;27002:ALAGOANA DO SERTÃO DO SÃO FRANCISCO;27003:SANTANA DO IPANEMA;27004:BATALHA;27005:PALMEIRA DOS ÍNDIOS;27006:ARAPIRACA;27007:TRAIPU;27008:SERRANA DOS QUILOMBOS;27009:MATA ALAGOANA;27010:LITORAL NORTE ALAGOANO;27011:MACEIÓ;27012:SÃO MIGUEL DOS CAMPOS;27013:PENEDO;28001:SERGIPANA DO SERTÃO DO SÃO FRANCISCO;28002:CARIRA;28003:NOSSA SENHORA DAS DORES;28004:AGRESTE DE ITABAIANA;28005:TOBIAS BARRETO;28006:AGRESTE DE LAGARTO;28007:PROPRIÁ;28008:COTINGUIBA;28009:JAPARATUBA;28010:BAIXO COTINGUIBA;28011:ARACAJU;28012:BOQUIM;28013:ESTÂNCIA;29001:BARREIRAS;29002:COTEGIPE;29003:SANTA MARIA DA VITÓRIA;29004:JUAZEIRO;29005:PAULO AFONSO;29006:BARRA;29007:BOM JESUS DA LAPA;29008:SENHOR DO BONFIM;29009:IRECÊ;29010:JACOBINA;29011:ITABERABA;29012:FEIRA DE SANTANA;29013:JEREMOABO;29014:EUCLIDES DA CUNHA;29015:RIBEIRA DO POMBAL;29016:SERRINHA;29017:ALAGOINHAS;29018:ENTRE RIOS;29019:CATU;29020:SANTO ANTÔNIO DE JESUS;29021:SALVADOR;29022:BOQUIRA;29023:SEABRA;29024:JEQUIÉ;29025:LIVRAMENTO DO BRUMADO;29026:GUANAMBI;29027:BRUMADO;29028:VITÓRIA DA CONQUISTA;29029:ITAPETINGA;29030:VALENÇA;29031:ILHÉUS-ITABUNA;29032:PORTO SEGURO;Total
0111301:Cultivo de arroz;0;102;0;0;29;8;0;6;68;35;26;0;5;10;5;0;29;30;6;3;5;63;16;71;0;0;19;129;1;5;20;8;14;4;0;0;4;6;0;0;26;0;0;0;1;0;0;0;0;0;0;55;0;0;0;0;0;0;55;0;0;23;0;0;0;0;0;56;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;5;7;5;6;3;0;4;10;0;0;0;0;0;0;1;0;10;0;0;3;0;18;0;0;1;1;46;12;0;0;41;11;96;2;0;56;0;0;1;0;3;3;12;0;53;0;0;0;0;0;0;0;0;0;0;1;0;11;0;4;2;2;3;3;3;18;3;3;3;4;7;3;2;253;8;26;74;13;2;1;12;13;48;0;12;1;3;3;4;12;0;2;7;51;1;5;22;11;19;3;6;22;4;35;3;2106
0111302:Cultivo de milho;0;3;0;0;0;0;0;0;41;0;4;0;0;0;0;0;2;0;0;23;1;1;0;6;2;12;1;170;0;17;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;4;0;1;0;71;2;0;0;1;0;0;13;12;0;0;0;0;0;0;0;0;0;0;11;6;5;10;0;0;0;0;2;0;0;0;0;2;1;0;0;8;0;0;3;0;0;0;0;0;0;1;0;0;0;0;2;0;0;4;0;0;0;0;1;4;0;2;4;0;0;0;0;9;0;2;0;0;0;0;0;0;7;0;0;3;0;0;0;0;23;0;0;0;0;0;0;0;4;25;0;7;9;4;4;0;0;0;9;0;1;31;6;46;11;0;3;1;3;18;2;0;5;1;0;5;1;4;0;2;0;1;0;0;0;0;0;0;8;6;1;5;0;725
0111303:Cultivo de trigo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;65
0111399:Cultivo de outros cereais não especificados anteriormente;0;0;0;0;2;0;12;14;39;0;2;5;3;9;0;0;14;6;1;37;11;8;6;31;0;0;0;333;0;1;36;0;5;0;0;0;2;2;0;0;0;0;0;56;5;0;0;0;1;0;0;10;0;0;0;0;0;0;29;1;0;8;0;0;0;0;0;1;0;1;0;8;12;0;0;0;1;0;0;1;3;0;1;21;2;57;4;7;2;11;6;2;0;0;2;0;0;7;0;1;1;3;24;20;11;0;0;2;12;11;5;2;1;5;3;30;14;0;6;0;10;1;0;10;19;12;1;72;77;0;0;0;3;0;3;61;0;16;16;0;6;8;12;2;13;0;7;0;1;2;1;26;0;10;7;22;2645;11;624;52;1;0;5;3;5;4;9;12;0;6;11;0;1;2;2;5;2;0;8;12;0;5;10;17;2;25;19;21;4926
0112101:Cultivo de algodão herbáceo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;359;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2232;0;496;0;0;0;127;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;14;1;0;0;0;0;0;3285
0112102:Cultivo de juta;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
0112199:Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;0;2;0;0;0;0;0;0;1;0;4;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;47;32;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;3;2;0;0;0;0;6;3;0;2;3;0;1;1;11;0;1;0;0;0;0;0;0;0;0;0;1;0;1;6;0;27;0;0;0;0;0;1;0;1;0;7;7;1;3;4;1;47;1;12;14;0;0;1;0;8;2;3;1;0;0;0;0;1;1;0;7;2;0;1;2;6;13;1;3;2;17;20;14;390
0113000:Cultivo de cana-de-açúcar;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;6;0;0;258;0;166;0;0;52;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;14;26;679;0;0;7;0;0;0;0;0;1;0;0;0;4;0;174;34;0;24;1;3108;708;2746;355;0;0;0;0;0;0;3;13;1;140;8;3916;2872;76;4162;12;1348;1676;0;0;0;1;0;22;258;0;142;3219;256;570;1629;128;0;0;2;86;0;0;9;2686;151;476;21;0;0;1;0;2;0;0;3;0;0;0;0;6;0;0;0;0;0;0;0;33;25;8;0;1;0;0;2;0;4;7;0;5;110;32571
0114800:Cultivo de fumo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;334;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;7;1508;0;0;0;0;0;0;0;0;0;0;0;0;1952
0115600:Cultivo de soja;0;0;0;0;7;0;0;189;33;0;0;4;50;164;0;0;30;98;232;2297;1217;28;0;21;0;122;0;1962;409;65;861;7;60;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4022;20;1710;0;0;2;3;0;0;0;0;0;0;0;0;0;0;2;0;4;13;0;0;0;0;34;0;0;0;0;0;0;13694
