Coluna;Microrregião
CNAE 2.0 Subclasse;50001:BAIXO PANTANAL;50002:AQUIDAUANA;50003:ALTO TAQUARI;50004:CAMPO GRANDE;50005:CASSILÂNDIA;50006:PARANAÍBA;50007:TRÊS LAGOAS;50008:NOVA ANDRADINA;50009:BODOQUENA;50010:DOURADOS;50011:IGUATEMI;51001:ARIPUANÃ;51002:ALTA FLORESTA;51003:COLÍDER;51004:PARECIS;51005:ARINOS;51006:ALTO TELES PIRES;51007:SINOP;51008:PARANATINGA;51009:NORTE ARAGUAIA;51010:CANARANA;51011:MÉDIO ARAGUAIA;51012:ALTO GUAPORÉ;51013:TANGARÁ DA SERRA;51014:JAURU;51015:ALTO PARAGUAI;51016:ROSÁRIO OESTE;51017:CUIABÁ;51018:ALTO PANTANAL;51019:PRIMAVERA DO LESTE;51020:TESOURO;51021:RONDONÓPOLIS;51022:ALTO ARAGUAIA;52001:SÃO MIGUEL DO ARAGUAIA;52002:RIO VERMELHO;52003:ARAGARÇAS;52004:PORANGATU;52005:CHAPADA DOS VEADEIROS;52006:CERES;52007:ANÁPOLIS;52008:IPORÁ;52009:ANICUNS;52010:GOIÂNIA;52011:VÃO DO PARANÃ;52012:ENTORNO DE BRASÍLIA;52013:SUDOESTE DE GOIÁS;52014:VALE DO RIO DOS BOIS;52015:MEIA PONTE;52016:PIRES DO RIO;52017:CATALÃO;52018:QUIRINÓPOLIS;53001:BRASÍLIA;Total
0111301:Cultivo de arroz;0;57;3;108;1;0;0;0;10;39;13;3;26;26;8;25;10;67;13;2;52;0;0;0;9;0;6;9;4;4;6;11;1;9;9;0;4;22;0;10;0;3;44;36;22;56;3;24;4;0;4;34;797
0111302:Cultivo de milho;8;0;12;59;31;0;0;4;17;176;20;16;8;13;65;42;38;71;138;11;44;0;0;4;0;0;0;44;1;369;32;29;8;0;0;0;18;25;1;79;4;1;19;2;129;173;45;38;18;16;2;76;1906
0111303:Cultivo de trigo;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;6;1;9;4;3;5;9;0;23;6;78
0111399:Cultivo de outros cereais não especificados anteriormente;15;30;127;167;100;2;12;11;100;1335;173;0;12;28;47;64;192;30;12;55;30;15;15;55;2;1;0;26;0;114;22;30;2;2;52;5;135;69;23;60;0;14;83;16;752;813;81;307;58;364;18;204;5880
0112101:Cultivo de algodão herbáceo;0;0;0;0;520;0;0;0;0;1;0;6;0;0;1042;135;92;4;20;8;482;0;0;1;0;0;0;1;0;1090;237;762;236;0;0;0;0;0;0;0;0;0;0;11;233;433;178;75;0;0;0;1;5568
0112102:Cultivo de juta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;5;0;0;1;1;4;10;0;0;2;0;27
0112199:Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;0;0;4;18;0;0;1;3;5;9;11;0;0;0;5;2;1;6;0;0;1;0;0;3;0;0;0;1;3;2;14;0;0;1;2;0;2;0;0;2;0;2;8;0;8;9;29;2;4;13;0;8;179
0113000:Cultivo de cana-de-açúcar;0;0;1078;15;176;372;18;39;0;2537;51;0;0;0;480;0;0;0;0;1;0;10;0;2622;602;0;2;6;29;0;0;8;2;1;11;0;0;75;2173;2;0;10;7;0;26;1205;1070;4068;0;8;104;34;16842
0114800:Cultivo de fumo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
0115600:Cultivo de soja;15;26;971;990;1251;17;47;99;387;4957;521;841;68;601;10891;2272;10765;2634;1698;2680;3839;139;176;660;18;230;148;976;35;3598;1400;4054;1789;72;62;150;228;121;147;77;12;28;159;97;3050;5548;1216;1515;948;1251;128;579;74181
0116401:Cultivo de amendoim;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4
0116403:Cultivo de mamona;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
0116499:Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;1;0;5;15;11;0;2;0;0;25;2;1;36;4;0;0;7;32;0;0;0;0;0;0;0;0;0;3;0;3;1;9;50;0;0;0;0;1;4;3;0;0;9;5;136;4;13;1;5;3;0;36;427
0119901:Cultivo de abacaxi;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;2;0;0;3;0;0;0;0;0;0;19
0119902:Cultivo de alho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;0;0;0;0;21;0;3;243
0119903:Cultivo de batata-inglesa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;154;0;0;0;0;0;0;0;162
0119904:Cultivo de cebola;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;1;1;0;0;0;2;34
0119905:Cultivo de feijão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;24;0;0;0;3;0;0;247;0;0;0;2;3;0;6;299
0119906:Cultivo de mandioca;0;2;1;2;0;0;1;2;1;20;48;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;6;1;0;0;4;0;0;1;0;0;0;0;4;0;0;4;0;2;0;2;8;2;0;3;2;119
0119908:Cultivo de melancia;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;9;3;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1;25
0119909:Cultivo de tomate rasteiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;15;0;17;46;0;136;3;5;77;36;7;0;5;365
0119999:Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;0;10;34;33;2;5;43;14;20;107;64;0;0;0;38;0;7;2;1;68;0;1;0;2;0;0;12;13;3;46;0;3;0;19;8;0;23;7;7;64;0;3;135;48;1894;44;171;179;13;74;15;399;3631
0121101:Horticultura, exceto morango;0;5;8;187;5;0;8;1;10;27;4;3;0;0;13;5;47;22;0;0;8;0;1;34;0;0;31;187;8;32;1;12;2;0;12;8;1;63;37;89;0;2;301;1;318;19;2;39;6;6;3;1082;2650
0121102:Cultivo de morango;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6
0122900:Cultivo de flores e plantas ornamentais;0;0;0;3;0;0;0;0;0;4;0;0;0;2;0;0;2;8;0;0;0;0;0;0;0;0;1;35;0;0;0;1;0;0;0;0;22;0;5;15;0;8;154;1;25;0;0;28;0;0;0;126;440
0131800:Cultivo de laranja;0;6;0;2;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;88;0;0;203;0;96;28;6;7;1;1;1;0;460
0132600:Cultivo de uva;0;0;0;7;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;12;0;0;0;4;0;0;2;4;0;0;0;0;0;1;37
0133401:Cultivo de açaí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
0133402:Cultivo de banana;0;12;0;4;0;0;0;0;0;0;0;0;0;3;0;0;8;33;0;0;1;0;0;0;0;0;0;17;0;13;0;58;0;0;0;0;2;0;0;61;0;0;5;6;10;26;7;12;1;3;0;2;284
0133403:Cultivo de caju;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
0133404:Cultivo de cítricos, exceto laranja;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;11;0;0;36;0;4;0;0;0;1;0;1;4;64
0133405:Cultivo de coco-da-baía;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;19;2;0;0;7;0;0;1;0;2;45
0133408:Cultivo de mamão;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;3;0;0;0;4;0;0;4;0;1;0;0;0;0;0;0;0;21
0133409:Cultivo de maracujá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;8
0133410:Cultivo de manga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;5
0133499:Cultivo de frutas de lavoura permanente não especificadas anteriormente;0;0;0;4;0;0;0;2;0;5;0;0;1;6;9;3;0;2;0;0;0;0;0;0;0;1;2;6;0;0;0;2;0;1;0;0;0;0;0;222;0;0;21;2;29;0;7;3;5;0;0;42;375
0134200:Cultivo de café;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;7;0;0;7;8;0;6;0;0;6;1;71;47;19;0;0;12;0;33;223
0135100:Cultivo de cacau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
0139301:Cultivo de chá-da-índia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
0139302:Cultivo de erva-mate;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
0139304:Cultivo de plantas para condimento, exceto pimenta-do-reino;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;2;0;0;9;0;0;0;3;0;0;0;0;0;18
0139305:Cultivo de dendê;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2
0139306:Cultivo de seringueira;0;0;14;4;151;43;31;0;0;0;0;0;0;0;0;4;2;0;1;0;59;21;0;6;17;0;0;0;2;0;14;2;0;83;0;0;18;1;714;10;0;10;0;0;114;0;6;0;0;1;1;0;1329
0139399:Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;0;0;7;17;2;4;0;0;6;34;0;0;0;3;0;0;0;0;0;0;0;0;1;3;0;0;2;5;7;4;0;0;0;0;5;0;2;2;2;26;0;0;22;10;38;18;3;17;3;4;3;36;286
0141501:Produção de sementes certificadas, exceto de forrageiras para pasto;0;0;0;54;6;0;5;0;0;56;0;0;0;0;12;4;195;4;0;0;5;0;0;0;1;0;0;0;0;326;0;5;0;6;0;0;1;17;267;7;0;0;92;1;976;494;44;1149;95;123;3;238;4186
0141502:Produção de sementes certificadas de forrageiras para formação de pasto;0;0;10;270;20;0;18;0;0;0;0;0;0;0;0;34;9;0;0;0;0;1;0;0;7;0;0;5;2;39;0;61;20;1;10;2;0;0;3;2;3;0;29;1;4;49;0;7;0;1;27;1;636
0142300:Produção de mudas e outras formas de propagação vegetal, certificadas;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;20;12;0;0;0;7;0;0;0;0;3;0;0;1;0;0;115;0;45;0;0;31;2;3;1;24;270
0151201:Criação de bovinos para corte;3383;3131;3932;4839;1436;2464;5793;2330;3158;3556;3886;2652;2774;2050;914;1925;683;960;977;2708;2650;1701;3101;1798;2857;506;476;2027;2518;261;1402;2702;387;2835;2588;801;1867;406;994;1076;538;771;1484;1003;1726;4325;870;1248;605;1040;2126;416;102656
0151202:Criação de bovinos para leite;28;47;77;251;26;17;50;53;20;92;50;39;18;37;4;6;18;15;7;48;34;33;28;14;62;9;7;96;102;16;39;197;15;242;324;223;330;51;645;868;303;352;1094;55;1045;1276;697;1591;1042;399;359;165;12616
0151203:Criação de bovinos, exceto para corte e leite;73;47;72;149;20;113;103;24;73;73;24;43;7;6;3;7;3;12;1;23;10;39;2;19;1;0;13;114;66;2;17;105;11;46;154;19;168;27;101;99;64;61;238;127;299;282;70;124;81;52;19;251;3557
0152101:Criação de bufalinos;0;0;0;1;2;8;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;1;0;0;0;0;0;14;1;10;14;1;0;0;0;5;1;0;1;0;13;3;0;11;0;0;2;6;107
0152102:Criação de eqüinos;0;4;0;18;0;0;0;0;0;3;0;4;0;0;3;0;3;1;0;0;1;0;0;2;0;0;0;8;0;1;0;4;1;0;6;2;4;0;0;20;0;2;44;0;13;10;4;20;4;8;0;38;228
0152103:Criação de asininos e muares;0;7;0;5;0;2;0;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;3;0;0;1;2;6;0;0;0;0;0;0;3;49
0153901:Criação de caprinos;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;28
0153902:Criação de ovinos, inclusive para produção de lã;1;0;0;6;0;0;0;19;0;12;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;12;0;1;0;1;0;0;0;0;0;0;2;1;0;0;2;0;2;1;0;0;0;4;0;7;77
0154700:Criação de suínos;0;0;252;165;14;0;11;0;2;242;288;3;0;0;286;0;1080;364;0;0;0;0;0;0;0;0;0;12;2;74;1;119;0;0;0;0;2;0;30;23;2;0;109;0;91;1277;111;41;15;38;61;283;4998
0155501:Criação de frangos para corte;1;12;0;128;0;3;1;0;1;87;32;0;0;0;5;0;609;7;0;2;0;0;0;29;12;5;1;10;0;172;0;0;1;4;10;0;2;0;4;264;0;15;76;18;99;836;44;187;207;29;9;632;3554
