Coluna;Microrregião
CNAE 2.0 Subclasse;11001:PORTO VELHO;11002:GUAJARÁ-MIRIM;11003:ARIQUEMES;11004:JI-PARANÁ;11005:ALVORADA DOESTE;11006:CACOAL;11007:VILHENA;11008:COLORADO DO OESTE;12001:CRUZEIRO DO SUL;12002:TARAUACÁ;12003:SENA MADUREIRA;12004:RIO BRANCO;12005:BRASILÉIA;13001:RIO NEGRO-AM;13002:JAPURÁ;13003:ALTO SOLIMÕES;13004:JURUÁ;13005:TEFÉ;13006:COARI;13007:MANAUS;13008:RIO PRETO DA EVA;13009:ITACOATIARA;13010:PARINTINS;13011:BOCA DO ACRE;13012:PURUS;13013:MADEIRA;14001:BOA VISTA;14002:NORDESTE DE RORAIMA;14003:CARACARAÍ;14004:SUDESTE DE RORAIMA;15001:ÓBIDOS;15002:SANTARÉM;15003:ALMEIRIM;15004:PORTEL;15005:FUROS DE BREVES;15006:ARARI;15007:BELÉM;15008:CASTANHAL;15009:SALGADO;15010:BRAGANTINA;15011:CAMETÁ;15012:TOMÉ-AÇU;15013:GUAMÁ;15014:ITAITUBA;15015:ALTAMIRA;15016:TUCURUÍ;15017:PARAGOMINAS;15018:SÃO FÉLIX DO XINGU;15019:PARAUAPEBAS;15020:MARABÁ;15021:REDENÇÃO;15022:CONCEIÇÃO DO ARAGUAIA;16001:OIAPOQUE;16002:AMAPÁ;16003:MACAPÁ;16004:MAZAGÃO;17001:BICO DO PAPAGAIO;17002:ARAGUAÍNA;17003:MIRACEMA DO TOCANTINS;17004:RIO FORMOSO;17005:GURUPI-TO;17006:PORTO NACIONAL;17007:JALAPÃO;17008:DIANÓPOLIS;Total
0111301:Cultivo de arroz;85;1;39;5;3;8;30;13;11;0;0;18;0;0;0;0;0;0;0;42;0;0;0;0;0;7;50;230;6;0;1;118;0;0;0;33;8;15;0;1;0;4;0;0;13;1;60;3;0;8;4;4;0;0;73;0;5;15;6;620;17;38;55;27;1677
0111302:Cultivo de milho;10;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;96;1;2;0;0;135;6;0;0;0;17;0;0;0;0;0;0;12;34;0;5;3;3;337
0111303:Cultivo de trigo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10
0111399:Cultivo de outros cereais não especificados anteriormente;4;1;0;3;3;18;85;10;0;0;1;5;0;0;0;0;0;0;0;7;2;0;0;0;8;0;1;3;1;0;0;19;0;0;0;0;4;9;4;3;4;6;1;28;2;1;124;13;11;6;0;7;0;0;11;1;21;42;73;120;28;34;46;23;793
0112101:Cultivo de algodão herbáceo;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;56;82
0112102:Cultivo de juta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;2;24
0112199:Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;1;0;0;0;0;0;29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;3;1;1;0;7;0;0;0;0;0;0;0;2;0;0;5;3;3;0;4;4;4;72
0113000:Cultivo de cana-de-açúcar;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1154;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;1;0;1;8;2;3;1285
0114800:Cultivo de fumo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0115600:Cultivo de soja;69;0;13;0;13;1;387;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;108;81;14;0;0;114;0;0;0;0;0;0;0;1;0;13;9;17;5;8;358;4;0;1;34;367;1;20;44;0;18;57;606;435;372;568;638;298;4931
0116402:Cultivo de girassol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0116499:Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;1;0;5;0;0;0;6;28;0;0;0;1;0;0;0;0;0;0;0;0;25;0;0;0;0;0;21;0;5;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;101
0119901:Cultivo de abacaxi;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;3;11;5;1;30;0;10;77
0119904:Cultivo de cebola;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;19
0119905:Cultivo de feijão;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11
0119906:Cultivo de mandioca;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;23;0;0;41
0119907:Cultivo de melão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
0119908:Cultivo de melancia;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;1;0;0;41
0119909:Cultivo de tomate rasteiro;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0119999:Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;10;0;18;3;2;7;12;5;0;0;0;4;0;0;0;0;0;0;0;1;1;0;6;0;0;0;13;6;4;0;0;1;0;0;0;0;4;77;18;50;1;28;21;0;0;2;47;0;1;0;4;6;0;0;6;1;0;3;11;2;2;24;15;111;527
0121101:Horticultura, exceto morango;95;0;9;13;1;0;51;1;10;0;0;66;1;0;0;0;0;0;0;94;21;0;0;0;0;0;45;3;0;0;1;11;0;4;0;10;28;58;6;4;0;0;8;0;4;3;5;0;0;15;1;0;0;0;46;0;1;56;1;44;0;5;0;2;723
0122900:Cultivo de flores e plantas ornamentais;37;0;18;7;0;5;19;0;0;0;0;1;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;52;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;3;0;0;6;0;0;9;23;3;0;246
0131800:Cultivo de laranja;2;0;2;2;0;46;1;0;0;0;0;0;0;0;0;0;0;0;0;22;29;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;200;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;319
0132600:Cultivo de uva;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
0133401:Cultivo de açaí;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;15;32;3;6;4;49;1;0;0;0;5;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;123
0133402:Cultivo de banana;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;10;0;0;0;0;0;33;0;0;0;0;0;0;1;0;0;0;0;10;0;3;0;0;0;0;160;21;8;0;0;9;0;3;265
0133404:Cultivo de cítricos, exceto laranja;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;9;4;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;20;0;5;0;0;4;0;0;65
0133405:Cultivo de coco-da-baía;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1858;80;2;0;0;1496;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;3444
0133406:Cultivo de guaraná;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44
0133408:Cultivo de mamão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
0133409:Cultivo de maracujá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
0133410:Cultivo de manga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;8
0133411:Cultivo de pêssego;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0133499:Cultivo de frutas de lavoura permanente não especificadas anteriormente;6;0;1;1;0;1;9;0;0;0;0;0;1;0;0;0;0;0;0;8;3;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;17;21;12;10;2;67;1;0;12;0;25;0;0;0;0;0;0;0;0;0;0;4;2;0;1;7;1;23;243
0134200:Cultivo de café;1;0;1;1;4;23;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;37
0135100:Cultivo de cacau;0;0;0;17;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;68;0;0;26;0;0;0;0;0;38;0;0;0;0;0;4;0;0;0;0;0;0;0;159
0139303:Cultivo de pimenta-do-reino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;111;172;0;348;55;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;781
0139304:Cultivo de plantas para condimento, exceto pimenta-do-reino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;9
0139305:Cultivo de dendê;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;0;0;0;0;0;0;129;230;6;815;114;8905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10370
0139306:Cultivo de seringueira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;35;22;6;0;0;68
0139399:Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;1;0;0;9;0;162;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;114;15;60;0;181;83;0;1;0;8;0;0;0;0;0;0;0;2;0;7;0;5;1;1;3;4;4;682
0141501:Produção de sementes certificadas, exceto de forrageiras para pasto;0;0;1;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;7;2;15;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;3;2;0;0;0;0;0;0;0;3;0;0;2;2;33;0;340;0;0;425
0141502:Produção de sementes certificadas de forrageiras para formação de pasto;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;11
0142300:Produção de mudas e outras formas de propagação vegetal, certificadas;8;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;14;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;62
0151201:Criação de bovinos para corte;1068;277;1391;1201;361;1590;2032;915;65;168;268;2325;231;0;0;0;23;0;1;29;10;20;9;448;55;31;76;36;115;28;67;66;28;42;0;363;392;312;36;329;199;667;1133;365;816;1008;2293;3346;1649;1396;3936;1986;3;46;187;9;855;3157;1652;1586;1615;541;275;714;43842
0151202:Criação de bovinos para leite;80;39;85;360;17;106;34;26;4;6;9;120;24;0;0;0;1;0;0;39;21;1;0;1;1;11;5;1;11;1;0;14;0;0;0;5;16;49;5;17;12;48;80;25;54;130;419;128;86;87;84;49;0;0;9;0;143;301;314;116;79;131;20;64;3488
0151203:Criação de bovinos, exceto para corte e leite;77;11;27;134;10;29;6;28;15;8;0;39;4;0;0;0;2;0;0;7;4;0;0;4;4;1;1;8;4;11;5;22;4;0;0;35;25;39;7;37;1;42;30;23;72;99;184;51;30;36;56;52;0;0;9;0;52;65;85;101;124;87;21;46;1874
0152101:Criação de bufalinos;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;47;45;0;6;0;0;0;0;0;0;0;2;0;3;1;0;0;0;6;59;0;1;0;2;0;8;0;0;0;189
0152102:Criação de eqüinos;0;0;3;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;7;0;1;1;1;0;3;51
0152103:Criação de asininos e muares;0;0;0;0;0;2;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;3;0;0;1;0;0;4;0;0;0;29
0153901:Criação de caprinos;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;0;4;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;34
0153902:Criação de ovinos, inclusive para produção de lã;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;3;2;0;0;18
