Coluna;Microrregião
CNAE 2.0 Subclasse;31001:UNAÍ;31002:PARACATU;31003:JANUÁRIA;31004:JANAÚBA;31005:SALINAS;31006:PIRAPORA;31007:MONTES CLAROS;31008:GRÃO MOGOL;31009:BOCAIÚVA;31010:DIAMANTINA;31011:CAPELINHA;31012:ARAÇUAÍ;31013:PEDRA AZUL;31014:ALMENARA;31015:TEÓFILO OTONI;31016:NANUQUE;31017:ITUIUTABA;31018:UBERLÂNDIA;31019:PATROCÍNIO;31020:PATOS DE MINAS;31021:FRUTAL;31022:UBERABA;31023:ARAXÁ;31024:TRÊS MARIAS;31025:CURVELO;31026:BOM DESPACHO;31027:SETE LAGOAS;31028:CONCEIÇÃO DO MATO DENTRO;31029:PARÁ DE MINAS;31030:BELO HORIZONTE;31031:ITABIRA;31032:ITAGUARA;31033:OURO PRETO;31034:CONSELHEIRO LAFAIETE;31035:GUANHÃES;31036:PEÇANHA;31037:GOVERNADOR VALADARES;31038:MANTENA;31039:IPATINGA;31040:CARATINGA;31041:AIMORÉS;31042:PIUÍ;31043:DIVINÓPOLIS;31044:FORMIGA;31045:CAMPO BELO;31046:OLIVEIRA;31047:PASSOS;31048:SÃO SEBASTIÃO DO PARAÍSO;31049:ALFENAS;31050:VARGINHA;31051:POÇOS DE CALDAS;31052:POUSO ALEGRE;31053:SANTA RITA DO SAPUCAÍ;31054:SÃO LOURENÇO;31055:ANDRELÂNDIA;31056:ITAJUBÁ;31057:LAVRAS;31058:SÃO JOÃO DEL REI;31059:BARBACENA;31060:PONTE NOVA;31061:MANHUAÇU;31062:VIÇOSA;31063:MURIAÉ;31064:UBÁ;31065:JUIZ DE FORA;31066:CATAGUASES;32001:BARRA DE SÃO FRANCISCO;32002:NOVA VENÉCIA;32003:COLATINA;32004:MONTANHA;32005:SÃO MATEUS;32006:LINHARES;32007:AFONSO CLÁUDIO;32008:SANTA TERESA;32009:VITÓRIA;32010:GUARAPARI;32011:ALEGRE;32012:CACHOEIRO DE ITAPEMIRIM;32013:ITAPEMIRIM;33001:ITAPERUNA;33002:SANTO ANTÔNIO DE PÁDUA;33003:CAMPOS DOS GOYTACAZES;33004:MACAÉ;33005:TRÊS RIOS;33006:CANTAGALO-CORDEIRO;33007:NOVA FRIBURGO;33008:SANTA MARIA MADALENA;33009:BACIA DE SÃO JOÃO;33010:LAGOS;33011:VALE DO PARAÍBA FLUMINENSE;33012:BARRA DO PIRAÍ;33013:BAÍA DA ILHA GRANDE;33014:VASSOURAS;33015:SERRANA;33016:MACACU-CACERIBU;33017:ITAGUAÍ;33018:RIO DE JANEIRO;35001:JALES;35002:FERNANDÓPOLIS;35003:VOTUPORANGA;35004:SÃO JOSÉ DO RIO PRETO;35005:CATANDUVA;35006:AURIFLAMA;35007:NHANDEARA;35008:NOVO HORIZONTE;35009:BARRETOS;35010:SÃO JOAQUIM DA BARRA;35011:ITUVERAVA;35012:FRANCA;35013:JABOTICABAL;35014:RIBEIRÃO PRETO;35015:BATATAIS;35016:ANDRADINA;35017:ARAÇATUBA;35018:BIRIGUI;35019:LINS;35020:BAURU;35021:JAÚ;35022:AVARÉ;35023:BOTUCATU;35024:ARARAQUARA;35025:SÃO CARLOS;35026:RIO CLARO;35027:LIMEIRA;35028:PIRACICABA;35029:PIRASSUNUNGA;35030:SÃO JOÃO DA BOA VISTA;35031:MOJI MIRIM;35032:CAMPINAS;35033:AMPARO;35034:DRACENA;35035:ADAMANTINA;35036:PRESIDENTE PRUDENTE;35037:TUPÃ;35038:MARÍLIA;35039:ASSIS;35040:OURINHOS;35041:ITAPEVA;35042:ITAPETININGA;35043:TATUÍ;35044:CAPÃO BONITO;35045:PIEDADE;35046:SOROCABA;35047:JUNDIAÍ;35048:BRAGANÇA PAULISTA;35049:CAMPOS DO JORDÃO;35050:SÃO JOSÉ DOS CAMPOS;35051:GUARATINGUETÁ;35052:BANANAL;35053:PARAIBUNA/PARAITINGA;35054:CARAGUATATUBA;35055:REGISTRO;35056:ITANHAÉM;35057:OSASCO;35058:FRANCO DA ROCHA;35059:GUARULHOS;35060:ITAPECERICA DA SERRA;35061:SÃO PAULO;35062:MOGI DAS CRUZES;35063:SANTOS;Total
0111301:Cultivo de arroz;30;34;14;74;1;2;28;15;0;3;0;1;2;0;14;10;2;11;7;8;5;24;6;3;2;1;71;0;23;477;41;34;14;21;0;1;4;3;47;11;2;4;38;21;31;0;2;5;30;32;24;2;19;1;5;2;9;4;30;27;1;21;0;16;12;9;1;0;1;0;0;0;3;0;13;2;0;7;0;0;3;15;0;0;0;0;0;0;0;201;7;0;0;0;0;0;128;0;0;3;10;0;0;2;1;1;10;0;1;0;10;3;0;0;0;5;3;1;2;0;0;0;1;6;4;4;5;20;0;1;0;0;17;0;14;3;4;25;11;1;0;2;0;0;4;1;134;21;0;2;0;4;2;2;1;8;0;12;3;4;2140
0111302:Cultivo de milho;240;379;0;83;8;179;20;1;2;9;0;1;10;0;0;0;5;171;404;331;9;32;212;53;4;11;10;0;6;18;2;1;3;22;0;0;2;0;3;5;1;130;13;45;38;8;102;29;139;188;21;9;104;38;83;5;60;166;25;5;1;25;2;7;2;1;0;0;2;4;1;0;1;0;2;0;0;0;0;1;0;0;0;9;0;4;0;4;0;0;1;0;0;0;2;0;2;3;2;25;52;24;1;22;13;6;241;8;81;10;25;74;15;9;42;9;18;13;518;53;48;65;150;133;9;163;588;119;44;64;2;3;10;16;24;89;86;732;276;133;185;166;217;22;102;3;21;1;2;9;0;1;2;0;0;0;0;2;2;0;8269
0111303:Cultivo de trigo;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;16;1;13;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;81
0111399:Cultivo de outros cereais não especificados anteriormente;1162;969;18;25;13;107;17;0;0;3;3;4;0;1;14;0;12;191;611;464;121;177;292;5;10;31;16;0;0;79;5;2;6;31;1;0;3;0;1;21;3;75;13;13;9;51;41;45;50;21;24;34;45;14;6;5;62;62;11;20;3;68;6;42;23;13;2;8;3;7;19;12;16;39;15;19;2;56;3;0;4;4;1;19;4;6;0;0;1;12;6;5;0;1;0;2;13;3;1;26;17;11;0;20;2;13;272;55;89;13;72;11;3;30;16;4;12;3;248;74;8;34;3;74;7;11;86;135;22;5;2;6;5;0;16;77;60;546;11;21;77;151;44;5;19;9;12;2;3;22;0;2;0;0;0;0;0;81;3;0;8007
0112101:Cultivo de algodão herbáceo;79;0;0;0;0;8;0;0;0;0;0;1;0;0;0;0;1;17;23;0;0;7;0;0;0;0;0;0;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;2;12;0;0;0;0;0;0;8;0;0;6;0;57;0;0;0;0;23;0;15;8;9;0;0;0;0;0;0;0;0;0;38;15;0;3;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;386
0112102:Cultivo de juta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0112199:Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;13;14;21;28;12;30;5;0;4;0;0;0;0;0;0;0;1;10;0;2;4;3;1;3;2;0;31;2;1;9;3;2;25;1;0;0;2;0;1;3;0;1;4;1;9;16;6;1;5;4;4;11;4;4;1;7;11;13;35;25;0;37;15;4;5;2;0;6;0;13;6;0;3;2;3;2;0;3;0;0;0;0;4;5;1;31;0;0;0;0;0;0;0;2;1;0;1;2;0;0;1;1;3;0;0;1;2;0;0;7;44;3;0;21;1;0;3;1;10;7;0;6;1;47;1;24;152;11;64;7;1;0;12;25;4;8;12;114;50;1;89;70;11;14;5;3;6;2;0;4;2;0;0;0;0;7;0;1;99;0;1501
0113000:Cultivo de cana-de-açúcar;8;321;1;378;22;16;7;0;3;4;0;0;0;3;1;48;19;525;1;11;1358;824;53;1;7;24;3;0;2;7;21;2;3;3;1;0;0;0;0;1;0;1093;23;18;52;10;30;75;12;17;9;0;3;2;1;71;2;10;0;74;2;17;1;7;14;1;0;37;0;17;931;60;9;40;8;1;1;46;149;0;10;510;62;14;0;28;0;12;13;0;0;20;0;0;0;8;3;1061;100;167;5933;4485;192;1178;2681;942;4043;404;337;2300;4077;639;244;456;1416;1591;1697;5022;1193;590;1463;527;171;412;1337;1823;1149;742;461;53;251;842;913;31;35;10093;2564;27;512;722;23;1;233;8;18;0;51;1;0;5;0;12;0;1;0;0;0;160;2;0;72592
0114800:Cultivo de fumo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
0115600:Cultivo de soja;1403;1227;133;0;0;64;0;0;0;0;0;0;0;0;0;0;219;907;468;73;148;898;661;13;0;6;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;14;0;1;3;0;91;9;4;7;0;0;0;8;7;0;8;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;4;0;0;2;0;54;739;108;84;4;59;40;3;12;19;2;5;12;182;33;20;0;4;3;0;2;154;8;2;0;0;1;72;7;23;1049;390;709;45;1;24;13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;7;61;0;0;10372
