Coluna;Microrregião
CNAE 2.0 Subclasse;41001:PARANAVAÍ;41002:UMUARAMA;41003:CIANORTE;41004:GOIOERÊ;41005:CAMPO MOURÃO;41006:ASTORGA;41007:PORECATU;41008:FLORAÍ;41009:MARINGÁ;41010:APUCARANA;41011:LONDRINA;41012:FAXINAL;41013:IVAIPORÃ;41014:ASSAÍ;41015:CORNÉLIO PROCÓPIO;41016:JACAREZINHO;41017:IBAITI;41018:WENCESLAU BRAZ;41019:TELÊMACO BORBA;41020:JAGUARIAÍVA;41021:PONTA GROSSA;41022:TOLEDO;41023:CASCAVEL-PR;41024:FOZ DO IGUAÇU;41025:CAPANEMA;41026:FRANCISCO BELTRÃO;41027:PATO BRANCO;41028:PITANGA;41029:GUARAPUAVA;41030:PALMAS;41031:PRUDENTÓPOLIS;41032:IRATI;41033:UNIÃO DA VITÓRIA;41034:SÃO MATEUS DO SUL;41035:CERRO AZUL;41036:LAPA;41037:CURITIBA;41038:PARANAGUÁ;41039:RIO NEGRO-PR;42001:SÃO MIGUEL DO OESTE;42002:CHAPECÓ;42003:XANXERÊ;42004:JOAÇABA;42005:CONCÓRDIA;42006:CANOINHAS;42007:SÃO BENTO DO SUL;42008:JOINVILLE;42009:CURITIBANOS;42010:CAMPOS DE LAGES;42011:RIO DO SUL;42012:BLUMENAU;42013:ITAJAÍ;42014:ITUPORANGA;42015:TIJUCAS;42016:FLORIANÓPOLIS;42017:TABULEIRO;42018:TUBARÃO;42019:CRICIÚMA;42020:ARARANGUÁ;43001:SANTA ROSA;43002:TRÊS PASSOS;43003:FREDERICO WESTPHALEN;43004:ERECHIM;43005:SANANDUVA;43006:CERRO LARGO;43007:SANTO ÂNGELO;43008:IJUÍ;43009:CARAZINHO;43010:PASSO FUNDO;43011:CRUZ ALTA;43012:NÃO-ME-TOQUE;43013:SOLEDADE;43014:GUAPORÉ;43015:VACARIA;43016:CAXIAS DO SUL;43017:SANTIAGO;43018:SANTA MARIA;43019:RESTINGA SECA;43020:SANTA CRUZ DO SUL;43021:LAJEADO-ESTRELA;43022:CACHOEIRA DO SUL;43023:MONTENEGRO;43024:GRAMADO-CANELA;43025:SÃO JERÔNIMO;43026:PORTO ALEGRE;43027:OSÓRIO;43028:CAMAQUÃ;43029:CAMPANHA OCIDENTAL;43030:CAMPANHA CENTRAL;43031:CAMPANHA MERIDIONAL;43032:SERRAS DE SUDESTE;43033:PELOTAS;43034:JAGUARÃO;43035:LITORAL LAGUNAR;Total
0111301:Cultivo de arroz;141;15;1;3;32;11;1;0;12;7;56;2;3;2;30;4;2;4;12;4;22;0;17;0;0;0;1;1;43;4;1;1;5;41;0;0;21;18;0;2;0;10;0;0;0;0;58;2;4;16;9;7;0;11;6;0;160;39;20;0;0;0;0;1;0;3;3;0;0;1;0;0;0;2;0;10;754;171;12;6;551;9;1;73;334;1219;1093;5429;1112;1491;77;1025;1256;2269;17763
0111302:Cultivo de milho;3;7;0;6;5;4;7;2;24;11;15;2;12;9;73;3;1;8;62;39;129;32;35;12;13;84;25;9;95;43;74;0;17;6;0;4;132;0;4;104;55;164;45;7;33;1;0;14;29;2;0;0;6;0;0;1;0;0;2;11;4;4;15;0;0;1;8;21;15;6;0;3;91;86;9;6;0;1;4;3;2;2;1;1;4;0;0;4;0;0;1;8;0;0;1781
0111303:Cultivo de trigo;0;0;0;0;5;4;2;1;1;5;19;1;7;2;10;1;1;0;6;7;0;2;3;0;0;0;4;0;2;2;0;0;0;0;0;0;40;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;4;12;8;4;8;0;0;0;0;5;7;2;6;0;0;3;2;0;0;0;0;0;0;2;3;2;0;0;4;0;205
0111399:Cultivo de outros cereais não especificados anteriormente;54;135;41;333;549;128;57;29;75;406;196;73;114;164;368;71;9;50;268;133;1128;669;588;168;15;92;260;60;1077;310;188;54;46;75;5;28;77;60;28;23;76;386;95;9;180;2;2;216;33;20;0;8;10;1;1;0;2;4;1;14;24;136;199;22;13;417;151;624;269;226;109;1;23;305;43;197;56;13;6;7;43;1;2;3;42;16;11;140;107;47;15;67;55;29;12683
0112101:Cultivo de algodão herbáceo;0;0;0;1;1;1;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;29
0112102:Cultivo de juta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0112199:Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;5;2;5;9;28;5;0;0;8;6;18;2;1;2;21;10;8;5;16;1;29;33;12;12;0;41;9;0;22;59;4;1;2;0;0;39;10;1;1;0;16;0;21;1;9;0;2;2;1;2;0;3;16;0;89;2;0;0;0;2;0;1;21;0;4;5;0;4;9;9;0;0;0;9;4;0;4;0;2;5;6;7;0;1;1;1;3;13;5;0;0;5;0;0;712
0113000:Cultivo de cana-de-açúcar;841;14;1329;62;23;279;28;2;13;12;8;27;1128;7;2049;1027;2;2;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;2;0;0;0;1;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6904
0114800:Cultivo de fumo;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;1;0;0;1;0;0;0;5;0;21;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;54;0;7;0;0;0;0;0;3;0;1;0;0;0;0;0;111
0115600:Cultivo de soja;142;301;89;556;1439;416;617;369;221;239;701;233;252;387;1104;99;46;93;945;278;1325;671;836;339;37;97;163;430;1447;428;328;19;43;40;0;59;31;0;9;20;65;140;8;6;177;0;0;234;84;0;0;18;0;0;0;0;0;2;3;136;115;172;161;168;54;1024;1025;977;942;1695;162;49;42;410;0;1240;229;45;40;0;300;0;3;34;17;3;8;349;192;106;128;130;110;3;25655
